pair,variant,condition,dimension,group,n,model_mean,old_gt,old_residual,new_gt,new_residual,residual_delta,status
Gemma,base,Narrative,race,Black,120,13.508,3.21,10.298,3.242,10.266,-0.032,CORRECTED
Gemma,base,Narrative,race,Hispanic,120,13.733,3.15,10.583,3.154,10.579,-0.004,CORRECTED
Gemma,base,Narrative,race,Asian,120,13.583,2.23,11.353,2.157,11.426,0.073,CORRECTED
Gemma,base,Narrative,race,Multiracial,120,13.15,3.0,10.15,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Gemma,ablit,Clinical,ses,Low,200,11.965,2.23,9.735,4.247,7.718,-2.017,CORRECTED
Gemma,ablit,Clinical,ses,Middle,200,11.525,2.23,9.295,3.118,8.407,-0.888,CORRECTED
Gemma,ablit,Clinical,ses,High,200,11.195,2.23,8.965,2.227,8.968,0.003,CORRECTED
Gemma,ablit,Clinical,gender,Cisgender Man,150,11.447,2.23,9.217,2.505,8.942,-0.275,CORRECTED
Gemma,ablit,Clinical,gender,Cisgender Woman,150,11.733,2.23,9.503,3.443,8.29,-1.213,CORRECTED
Gemma,ablit,Clinical,gender,Transgender Man,150,11.433,2.23,9.203,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Gemma,ablit,Clinical,gender,Transgender Woman,150,11.633,2.23,9.403,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Gemma,ablit,Clinical,race,White,120,11.475,3.19,8.285,2.912,8.563,0.278,CORRECTED
Gemma,ablit,Clinical,race,Black,120,11.617,3.21,8.407,3.242,8.375,-0.032,CORRECTED
Gemma,ablit,Clinical,race,Hispanic,120,11.667,3.15,8.517,3.154,8.513,-0.004,CORRECTED
Gemma,ablit,Clinical,race,Asian,120,11.517,2.23,9.287,2.157,9.36,0.073,CORRECTED
Gemma,ablit,Clinical,race,Multiracial,120,11.533,3.0,8.533,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Gemma,ablit,Narrative,ses,Low,200,11.59,2.23,9.36,4.247,7.343,-2.017,CORRECTED
Gemma,ablit,Narrative,ses,Middle,200,11.425,2.23,9.195,3.118,8.307,-0.888,CORRECTED
Gemma,ablit,Narrative,ses,High,200,11.165,2.23,8.935,2.227,8.938,0.003,CORRECTED
Gemma,ablit,Narrative,gender,Cisgender Man,150,11.32,2.23,9.09,2.505,8.815,-0.275,CORRECTED
Gemma,ablit,Narrative,gender,Cisgender Woman,150,11.567,2.23,9.337,3.443,8.124,-1.213,CORRECTED
Gemma,ablit,Narrative,gender,Transgender Man,150,11.28,2.23,9.05,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Gemma,ablit,Narrative,gender,Transgender Woman,150,11.407,2.23,9.177,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Gemma,ablit,Narrative,race,White,120,11.358,3.19,8.168,2.912,8.446,0.278,CORRECTED
Gemma,ablit,Narrative,race,Black,120,11.342,3.21,8.132,3.242,8.1,-0.032,CORRECTED
Gemma,ablit,Narrative,race,Hispanic,120,11.517,3.15,8.367,3.154,8.363,-0.004,CORRECTED
Gemma,ablit,Narrative,race,Asian,120,11.383,2.23,9.153,2.157,9.226,0.073,CORRECTED
Gemma,ablit,Narrative,race,Multiracial,120,11.367,3.0,8.367,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
GLM,base,Clinical,ses,Low,200,16.15,2.23,13.92,4.247,11.903,-2.017,CORRECTED
GLM,base,Clinical,ses,Middle,200,12.88,2.23,10.65,3.118,9.762,-0.888,CORRECTED
GLM,base,Clinical,ses,High,200,7.97,2.23,5.74,2.227,5.743,0.003,CORRECTED
GLM,base,Clinical,gender,Cisgender Man,150,10.6,2.23,8.37,2.505,8.095,-0.275,CORRECTED
