pair,variant,dimension,group,n,model_sd,old_ref_sd,old_SI,new_ref_sd,new_SI,status
DeepSeekR1,base,race,Black,119,5.716,4.35,1.314,4.249,1.345,DESCRIPTIVE_only
DeepSeekR1,base,race,Hispanic,120,4.697,4.2,1.118,4.154,1.131,DESCRIPTIVE_only
DeepSeekR1,base,race,Asian,120,5.481,3.07,1.785,3.011,1.82,DESCRIPTIVE_only
DeepSeekR1,base,race,Multiracial,120,5.223,4.5,1.161,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
DeepSeekR1,ablit,ses,Low,200,3.792,5.9,0.643,4.885,0.776,DESCRIPTIVE_only
DeepSeekR1,ablit,ses,Middle,200,3.613,5.5,0.657,3.955,0.913,DESCRIPTIVE_only
DeepSeekR1,ablit,ses,High,200,4.245,4.7,0.903,3.085,1.376,DESCRIPTIVE_only
DeepSeekR1,ablit,gender,Cisgender Man,150,4.406,4.3,1.025,3.585,1.229,DESCRIPTIVE_only
DeepSeekR1,ablit,gender,Cisgender Woman,150,3.94,5.1,0.773,4.192,0.94,DESCRIPTIVE_only
DeepSeekR1,ablit,gender,Transgender Man,150,3.325,6.2,0.536,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
DeepSeekR1,ablit,gender,Transgender Woman,150,3.955,5.7,0.694,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
DeepSeekR1,ablit,race,White,120,3.842,4.19,0.917,3.835,1.002,DESCRIPTIVE_only
DeepSeekR1,ablit,race,Black,120,4.387,4.35,1.008,4.249,1.032,DESCRIPTIVE_only
DeepSeekR1,ablit,race,Hispanic,120,3.83,4.2,0.912,4.154,0.922,DESCRIPTIVE_only
DeepSeekR1,ablit,race,Asian,120,4.242,3.07,1.382,3.011,1.409,DESCRIPTIVE_only
DeepSeekR1,ablit,race,Multiracial,120,3.28,4.5,0.729,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
Yi1.5,base,ses,Low,200,2.921,5.9,0.495,4.885,0.598,DESCRIPTIVE_only
Yi1.5,base,ses,Middle,200,3.697,5.5,0.672,3.955,0.935,DESCRIPTIVE_only
Yi1.5,base,ses,High,200,3.37,4.7,0.717,3.085,1.092,DESCRIPTIVE_only
