pair,variant,condition,dimension,group,n,residual,t,p,p_bh,sig_bh_.05
Qwen2.5,base,Narrative,race,Black,120,3.05,5.549,7.572e-07,8.338e-07,True
Qwen2.5,base,Narrative,race,Hispanic,120,3.338,6.508,2.285e-08,2.587e-08,True
Qwen2.5,base,Narrative,race,Asian,120,3.751,7.482,6.828e-10,8.011e-10,True
Qwen2.5,base,Narrative,gender,Cisgender Man,150,1.988,4.61,1.612e-05,1.728e-05,True
Qwen2.5,base,Narrative,gender,Cisgender Woman,150,3.85,8.086,1.569e-11,1.903e-11,True
Qwen2.5,base,Narrative,ses,Low,200,7.083,31.284,0.000e+00,0.000e+00,True
Qwen2.5,base,Narrative,ses,Middle,200,3.357,9.279,8.882e-15,1.155e-14,True
Qwen2.5,base,Narrative,ses,High,200,-1.282,-7.028,3.166e-10,3.751e-10,True
Qwen2.5,ablit,Clinical,race,White,120,6.913,22.726,0.000e+00,0.000e+00,True
Qwen2.5,ablit,Clinical,race,Black,120,7.491,26.661,0.000e+00,0.000e+00,True
Qwen2.5,ablit,Clinical,race,Hispanic,120,6.846,22.938,0.000e+00,0.000e+00,True
Qwen2.5,ablit,Clinical,race,Asian,120,7.018,23.803,0.000e+00,0.000e+00,True
Qwen2.5,ablit,Clinical,gender,Cisgender Man,150,6.402,23.085,0.000e+00,0.000e+00,True
Qwen2.5,ablit,Clinical,gender,Cisgender Woman,150,6.63,28.564,0.000e+00,0.000e+00,True
Qwen2.5,ablit,Clinical,ses,Low,200,8.503,51.298,0.000e+00,0.000e+00,True
Qwen2.5,ablit,Clinical,ses,Middle,200,6.637,40.999,0.000e+00,0.000e+00,True
Qwen2.5,ablit,Clinical,ses,High,200,5.383,28.788,0.000e+00,0.000e+00,True
Qwen2.5,ablit,Narrative,race,White,120,3.813,10.758,1.865e-14,2.391e-14,True
Qwen2.5,ablit,Narrative,race,Black,120,4.075,11.136,6.661e-15,8.696e-15,True
Qwen2.5,ablit,Narrative,race,Hispanic,120,4.354,12.382,2.220e-16,3.054e-16,True
Qwen2.5,ablit,Narrative,race,Asian,120,4.685,15.259,0.000e+00,0.000e+00,True
Qwen2.5,ablit,Narrative,gender,Cisgender Man,150,3.962,13.463,0.000e+00,0.000e+00,True
Qwen2.5,ablit,Narrative,gender,Cisgender Woman,150,4.704,17.031,0.000e+00,0.000e+00,True
Qwen2.5,ablit,Narrative,ses,Low,200,6.073,30.64,0.000e+00,0.000e+00,True
Qwen2.5,ablit,Narrative,ses,Middle,200,4.117,22.522,0.000e+00,0.000e+00,True
Qwen2.5,ablit,Narrative,ses,High,200,1.748,8.765,9.681e-14,1.224e-13,True
